timestamp,pid,cpu_percent,mem_percent,rss_kb,vsz_kb,state,elapsed
2026-06-05 07:08:00,1,2.6,0.0,1792,2896,Ss,00:06
2026-06-05 07:08:02,1,2.0,0.0,1792,2896,Ss,00:08
2026-06-05 07:08:04,1,1.6,0.0,1792,2896,Ss,00:10
2026-06-05 07:08:06,1,1.3,0.0,1792,2896,Ss,00:12
2026-06-05 07:08:08,1,1.2,0.0,1792,2896,Ss,00:14
2026-06-05 07:08:10,1,1.0,0.0,1792,2896,Ss,00:16
2026-06-05 07:08:12,1,0.9,0.0,1792,2896,Ss,00:18
2026-06-05 07:08:14,1,0.8,0.0,1792,2896,Ss,00:20
2026-06-05 07:08:16,1,0.7,0.0,1792,2896,Ss,00:22
2026-06-05 07:08:18,1,0.7,0.0,1792,2896,Ss,00:24
2026-06-05 07:08:20,1,0.6,0.0,1792,2896,Ss,00:26
2026-06-05 07:08:22,1,0.6,0.0,1792,2896,Ss,00:28
2026-06-05 07:08:24,1,0.5,0.0,1792,2896,Ss,00:30
